date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:28:59	35112/35112	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Feb%202024%2009:28:59%20GMT	https://peduli.pancah.my.id/thaiy	D:/template%20web/redirect/peduli.pancah.my.id/thaiy.html	(from )
17:28:59	141/141	---MCZ	200	added ('OK')	text/plain	date:Fri,%2016%20Feb%202024%2009:28:59%20GMT	https://peduli.pancah.my.id/robots.txt		(from )
17:29:00	3072/3072	---M--	200	added ('OK')	image/png	etag:%2232cb05f7c919c40eaa59f49363bbec98%22	https://cdn.greatpages.com.br/peduli.pancah.my.id-thaiy/1708063385/imagens/desktop/487683_1_170806327965cefa2f666b4628710757.png	D:/template%20web/redirect/cdn.greatpages.com.br/peduli.pancah.my.id-thaiy/1708063385/imagens/desktop/487683_1_170806327965cefa2f666b4628710757.png	(from https://peduli.pancah.my.id/thaiy)
17:29:00	6090/6090	---M--	200	added ('OK')	image/png	etag:%224b39d65079a613172627304e2560ae5e%22	https://cdn.greatpages.com.br/peduli.pancah.my.id-thaiy/1708063385/imagens/desktop/487683_1_170806327965cefa2f669a5754021572.png	D:/template%20web/redirect/cdn.greatpages.com.br/peduli.pancah.my.id-thaiy/1708063385/imagens/desktop/487683_1_170806327965cefa2f669a5754021572.png	(from https://peduli.pancah.my.id/thaiy)
17:29:00	386/386	---M--	200	added ('OK')	image/png	etag:%221aac311c378e1f7c199d8f9068355716%22	https://cdn.greatpages.com.br/peduli.pancah.my.id-thaiy/1708063385/imagens/desktop/487683_1_170806327965cefa2f66a44176031575.png	D:/template%20web/redirect/cdn.greatpages.com.br/peduli.pancah.my.id-thaiy/1708063385/imagens/desktop/487683_1_170806327965cefa2f66a44176031575.png	(from https://peduli.pancah.my.id/thaiy)
17:29:01	1401/1401	---M--	200	added ('OK')	image/png	etag:%22c837508c50c238f9145d8b4e8f042b0b%22	https://cdn.greatpages.com.br/peduli.pancah.my.id-thaiy/1708063385/imagens/desktop/487683_1_170806327965cefa2f66b0f934244573.png	D:/template%20web/redirect/cdn.greatpages.com.br/peduli.pancah.my.id-thaiy/1708063385/imagens/desktop/487683_1_170806327965cefa2f66b0f934244573.png	(from https://peduli.pancah.my.id/thaiy)
17:29:01	1882/1882	---M--	200	added ('OK')	image/png	etag:%227d12979d9d4a0b2bdcbe6d4ad9a4f8a4%22	https://cdn.greatpages.com.br/peduli.pancah.my.id-thaiy/1708063385/imagens/mobile/487683_1_170806327965cefa2f666b4628710757.png	D:/template%20web/redirect/cdn.greatpages.com.br/peduli.pancah.my.id-thaiy/1708063385/imagens/mobile/487683_1_170806327965cefa2f666b4628710757.png	(from https://peduli.pancah.my.id/thaiy)
17:29:02	7945/7945	---M--	200	added ('OK')	image/png	etag:%2203fb4b1349bc3ebb1c8a7d78d10dd084%22	https://cdn.greatpages.com.br/peduli.pancah.my.id-thaiy/1708063385/imagens/mobile/487683_1_170806327965cefa2f669a5754021572.png	D:/template%20web/redirect/cdn.greatpages.com.br/peduli.pancah.my.id-thaiy/1708063385/imagens/mobile/487683_1_170806327965cefa2f669a5754021572.png	(from https://peduli.pancah.my.id/thaiy)
17:29:03	163/163	---M--	200	added ('OK')	image/png	etag:%22720136eaacdfbfb41f8fbd9dc048612a%22	https://cdn.greatpages.com.br/peduli.pancah.my.id-thaiy/1708063385/imagens/mobile/487683_1_170806327965cefa2f66a44176031575.png	D:/template%20web/redirect/cdn.greatpages.com.br/peduli.pancah.my.id-thaiy/1708063385/imagens/mobile/487683_1_170806327965cefa2f66a44176031575.png	(from https://peduli.pancah.my.id/thaiy)
17:29:03	988/988	---M--	200	added ('OK')	image/png	etag:%22a0271972acedd23e9e3c3cca09e534d9%22	https://cdn.greatpages.com.br/peduli.pancah.my.id-thaiy/1708063385/imagens/mobile/487683_1_170806327965cefa2f66b0f934244573.png	D:/template%20web/redirect/cdn.greatpages.com.br/peduli.pancah.my.id-thaiy/1708063385/imagens/mobile/487683_1_170806327965cefa2f66b0f934244573.png	(from https://peduli.pancah.my.id/thaiy)
17:29:03	23372/23372	---MCZ	200	added ('OK')	text/css	etag:W/%2206f9449818c01039f25e5cd4686d9c8a%22	https://cdn.greatpages.com.br/peduli.pancah.my.id-thaiy/1708063385/css.css	D:/template%20web/redirect/cdn.greatpages.com.br/peduli.pancah.my.id-thaiy/1708063385/css.css	(from https://peduli.pancah.my.id/thaiy)
17:29:04	88028/88028	---MCZ	200	added ('OK')	application/javascript	etag:W/%22731bcbaae306ec3f75387cb01dea5c11%22	https://cdn.greatpages.com.br/peduli.pancah.my.id-thaiy/1708063385/js.js	D:/template%20web/redirect/cdn.greatpages.com.br/peduli.pancah.my.id-thaiy/1708063385/js.js	(from https://peduli.pancah.my.id/thaiy)
